D,O,H,L,C,V
12/30/16,2251.610107,2253.580078,2233.620117,2238.830078,2670900000
12/29/16,2249.5,2254.51001,2244.560059,2249.26001,2336370000
12/28/16,2270.22998,2271.310059,2249.110107,2249.919922,2392360000
12/27/16,2266.22998,2273.820068,2266.149902,2268.879883,1987080000
12/23/16,2260.25,2263.790039,2258.840088,2263.790039,2020550000
12/22/16,2262.929932,2263.179932,2256.080078,2260.959961,2876320000
12/21/16,2270.540039,2271.22998,2265.149902,2265.179932,2852230000
12/20/16,2266.5,2272.560059,2266.139893,2270.76001,3298780000
12/19/16,2259.23999,2267.469971,2258.209961,2262.530029,3248370000
12/16/16,2266.810059,2268.050049,2254.23999,2258.070068,5920340000
12/15/16,2253.77002,2272.120117,2253.77002,2262.030029,4168200000
12/14/16,2268.350098,2276.199951,2248.439941,2253.280029,4406970000
12/13/16,2263.320068,2277.530029,2263.320068,2271.719971,3857590000
12/12/16,2258.830078,2264.030029,2252.370117,2256.959961,4034510000
12/9/16,2249.72998,2259.800049,2249.22998,2259.530029,3884480000
12/8/16,2241.129883,2251.689941,2237.570068,2246.189941,4200580000
12/7/16,2210.719971,2241.629883,2208.929932,2241.350098,4501820000
12/6/16,2207.26001,2212.780029,2202.209961,2212.22998,3855320000
12/5/16,2200.649902,2209.419922,2199.969971,2204.709961,3895230000
12/2/16,2191.120117,2197.949951,2188.370117,2191.949951,3779500000
12/1/16,2200.169922,2202.600098,2187.439941,2191.080078,5063740000
11/30/16,2204.969971,2214.100098,2198.810059,2198.810059,5533980000
11/29/16,2200.76001,2210.459961,2198.149902,2204.659912,3706560000
11/28/16,2210.209961,2211.139893,2200.360107,2201.719971,3505650000
11/25/16,2206.27002,2213.350098,2206.27002,2213.350098,1584600000
11/23/16,2198.550049,2204.719971,2194.51001,2204.719971,3418640000
11/22/16,2201.560059,2204.800049,2194.51001,2202.939941,3957940000
11/21/16,2186.429932,2198.699951,2186.429932,2198.179932,3607010000
11/18/16,2186.850098,2189.889893,2180.379883,2181.899902,3572400000
11/17/16,2178.610107,2188.060059,2176.649902,2187.120117,3809160000
11/16/16,2177.530029,2179.219971,2172.199951,2176.939941,3830590000
11/15/16,2168.290039,2180.840088,2166.379883,2180.389893,4543860000
11/14/16,2165.639893,2171.360107,2156.080078,2164.199951,5367200000
11/11/16,2162.709961,2165.919922,2152.48999,2164.449951,4988050000
11/10/16,2167.48999,2182.300049,2151.169922,2167.47998,6451640000
11/9/16,2131.560059,2170.100098,2125.350098,2163.26001,6264150000
11/8/16,2129.919922,2146.870117,2123.560059,2139.560059,3916930000
